pathway	pval	padj	log2err	ES	NES	size	leadingEdge
5990989_Activation_of_the_pre-replicative_complex	6.59083895750088e-07	1.43045615892427e-05	0.659444398037935	0.718885950039118	2.33807332653615	28	17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 19075 19076 12544 17220 50793 18392 70024
5990990_G1_S_Transition	7.93791292860092e-11	3.10107798410676e-09	0.839088935621274	0.623290529967304	2.54302314239109	84	20135 13555 17219 12575 12448 17215 12534 22390 68240 21781 18968 67141 13361 23834 56452 268697 66634 19891 17216 17218 18973 17463 19645 19075 19076 12544 26440 26444 19179 17420 228769 26445 18538 57296 22171 19170 17220 50793 18392 67151 70024 12447 26442 19177
5990991_Mitotic_G1-G1_S_phases	4.97220344848922e-13	2.91371122081468e-11	0.921426003494898	0.628524711726734	2.63971155994711	101	12571 21973 20135 13555 12580 17219 12575 12448 17215 12534 22390 68240 21781 18968 67141 13361 23834 56452 242705 13557 268697 12567 66634 17865 19891 17216 17218 18973 17463 19645 19075 19076 12544 26440 26444 19179 12579 17420 228769 26445 18538 57296 22171 19170 17220 50793 18392 67151 70024 12447 26442 19177
5990992_Removal_of_licensing_factors_from_origins	1.61426334587239e-06	3.05147845381038e-05	0.643551836150722	0.593855727255551	2.25912053604057	54	57441 17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990993_Orc1_removal_from_chromatin	4.46104989059127e-05	0.000568298964323149	0.557332238758646	0.571685358177299	2.15350531672317	52	17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 26442 19177
5990994_Switching_of_origins_to_a_post-replicative_state	4.46104989059127e-05	0.000568298964323149	0.557332238758646	0.571685358177299	2.15350531672317	52	17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 26442 19177
5990995_CDK-mediated_phosphorylation_and_removal_of_Cdc6	0.051948051948052	0.164548964548965	0.252961123069611	0.423978719134187	1.48107647144739	36	23834 17463 26440 26444 19179 228769 26445 57296 19170 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441 53380
5990998_DNA_strand_elongation	9.00043772480429e-10	3.10250382749136e-08	0.801215574617779	0.777238329741357	2.59251079632959	31	17219 69270 69263 17215 68240 72151 18968 272551 106344 327762 66634 19891 17216 19687 17218 16881 19075 19076 18972 12544 69745 18538 17220 109145 14156 18971 19718
5990999_Lagging_Strand_Synthesis	3.71955266383773e-06	6.41075841473209e-05	0.627256739718528	0.760367665936474	2.27406573362661	20	69263 68240 72151 18968 106344 327762 19891 19687 16881 19075 19076 18972 69745 18538 14156 18971 19718 18969
5991000_Processive_synthesis_on_the_lagging_strand	0.0005045180295255	0.00434775831326387	0.477270815362862	0.741784637660063	2.04590933771752	15	68240 18968 327762 19891 16881 19075 19076 18972 69745 18538 14156 18971 18969
5991002_Cyclin_E_associated_events_during_G1_S_transition_	0.00332671154940008	0.0204857199236431	0.431707695803346	0.478274077184574	1.75997038712472	47	12575 12448 22390 17463 19645 26440 26444 19179 17420 228769 26445 57296 19170 67151 12447 26442 19177 66671 23996 26965 19192 22190 19172 23997 27401 19166
5991003_Cyclin_D_associated_events_in_G1	0.000173194786977723	0.00178056395033238	0.518848077743792	0.667547493167619	2.0643467595264	23	12571 13555 12580 12575 21781 242705 13557 12567 19645 12579 17420
5991004_G1_Phase	0.000173194786977723	0.00178056395033238	0.518848077743792	0.667547493167619	2.0643467595264	23	12571 13555 12580 12575 21781 242705 13557 12567 19645 12579 17420
5991005_Stabilization_of_p53	0.159016393442623	0.333315558399545	0.139599673451922	0.36092086249849	1.26459503254091	37	17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441 53380
5991006_p53-Dependent_G1_DNA_Damage_Response	0.1024	0.256437606837607	0.175204047558551	0.386701827459039	1.37803043258118	39	12575 17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991007_p53-Dependent_G1_S_DNA_damage_checkpoint	0.1024	0.256437606837607	0.175204047558551	0.386701827459039	1.37803043258118	39	12575 17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991008_G1_S_DNA_Damage_Checkpoints	0.0314899276911384	0.116791757132956	0.321775918075361	0.432543613590472	1.56483053569804	42	12649 12575 17463 26440 26444 19179 228769 26445 57296 19170 17246 67151 50883 26442 19177 23996 19192 22190 19172 23997
5991009_Cell_Cycle_Checkpoints	2.53216258797725e-10	9.27404547846668e-09	0.814035837847908	0.606523158074858	2.51483684559603	93	12442 107995 12649 56150 17219 12575 69263 17215 12534 22390 68240 269582 12236 72151 68612 23834 106344 56452 268697 66634 19891 17216 17218 17463 22628 22627 12544 26440 26444 19179 228769 26445 57296 19170 17246 17220 50793 18392 67151 70024 50883 12532 26442 19177
5991010_DNA_Damage_Telomere_Stress_Induced_Senescence	0.3375	0.541703096539162	0.0946646223153342	0.364961697964464	1.09150734389133	20	14958 12575 17535
5991011_Cellular_Senescence	0.155251141552511	0.327256003416445	0.135740943810425	0.312912522239074	1.25331588821712	77	14958 12571 12580 12575 14056 22166 17164 68612 56371 17535 12567 26399 26417 494448 102626 12579 12608
5991012_Cellular_responses_to_stress	0.0381471389645777	0.13149543196025	0.271288554688953	0.313152039295268	1.39410909184783	151	112407 50527 14958 12571 12580 12575 15251 14056 68240 22166 17164 68612 18141 223921 14782 56371 17535 12567 19891 213539 21672 12359 26399 26417 69736 22627 23950 18453 269113 494448 13063 102626 12579 12608
5991013_p53-Independent_DNA_Damage_Response	0.0886699507389163	0.2383513354725	0.191892240384838	0.39790981720398	1.40022377032622	38	12649 17463 26440 26444 19179 228769 26445 57296 19170 67151 50883 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991014_p53-Independent_G1_S_DNA_damage_checkpoint	0.0886699507389163	0.2383513354725	0.191892240384838	0.39790981720398	1.40022377032622	38	12649 17463 26440 26444 19179 228769 26445 57296 19170 67151 50883 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991015_Ubiquitin_Mediated_Degradation_of_Phosphorylated_Cdc25A	0.0886699507389163	0.2383513354725	0.191892240384838	0.39790981720398	1.40022377032622	38	12649 17463 26440 26444 19179 228769 26445 57296 19170 67151 50883 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441
5991016_Activation_of_ATR_in_response_to_replication_stress	7.58981066355151e-07	1.58843894601471e-05	0.659444398037935	0.693613225514781	2.3861905088115	34	12649 17219 69263 17215 68240 269582 72151 23834 106344 56452 66634 19891 17216 17218 12544 17220 50793 18392 70024 12532 19718
5991017_G2_M_Checkpoints	1.68325462777256e-08	4.93193605937359e-07	0.73376198835648	0.688130747626764	2.50729677679755	44	12442 12649 17219 69263 17215 12534 22390 68240 269582 72151 23834 106344 56452 268697 66634 19891 17216 17218 22628 22627 12544 17220 50793 18392 70024 50883 12532
5991018_Oxidative_Stress_Induced_Senescence	0.0832	0.229768353712016	0.195789002148949	0.393361276870313	1.40737233144582	40	12571 12580 14056 22166 17164 12567 26399 26417 494448 102626 12579 17246
5991021_Gluconeogenesis	6.13559720097975e-07	1.38286921529774e-05	0.659444398037935	0.74618818590814	2.33710543102367	24	11676 21991 18648 18563 18655 14433 11674 13358 14751 14718 433182 74551 14719 67863
5991022_Glucose_metabolism	3.23626246029596e-09	9.98131474596542e-08	0.774939030136436	0.690491914951155	2.56133095615059	49	11676 21991 18648 110095 18563 15277 18655 18746 56421 27357 72157 74185 14433 11674 18641 13358 14751 77559 14718 15275 433182 74551 14719 12315 67863 14387
5991023_Metabolism_of_carbohydrates	2.83179429362757e-09	9.21906364480975e-08	0.774939030136436	0.494476586501543	2.22219223900578	160	11676 21991 15366 58250 12505 20527 18648 15442 110095 18563 269941 15277 18655 14635 18746 20525 56421 27357 72157 74185 20322 14433 11674 66171 18141 223921 18641 20443 14733 110208 13358 56375 14751 20444 69736 77559 11881 269113 21881 20971 14718 15275 66646 50917 231727 433182 74551 14719 12315 70484 56398 67863 14387 54371 12091 53374
5991028_Phase_II_conjugation	0.059016393442623	0.181066002918204	0.237793834423688	0.422283773498159	1.47959848757881	37	269378 14873 14866 211666 66054 66447 14872 12846 14854
5991029_Biological_oxidations	0.186646433990895	0.368265354608298	0.122107920287081	0.303884587306879	1.21400577760751	76	13121 269378 14873 14866 211666 66054 66447 11669 14872 228608 12846 14148 70101 14854
5991034_TP53_Regulates_Metabolic_Genes	0.108514190317195	0.268086645671972	0.173747838999571	0.410131552427097	1.37983315248225	32	230784 22166 14782 21672 14751 22628 22627 12858 105787 13063 11651 110323 12867 54683
5991035_Transcriptional_Regulation_by_TP53	0.108514190317195	0.268086645671972	0.173747838999571	0.410131552427097	1.37983315248225	32	230784 22166 14782 21672 14751 22628 22627 12858 105787 13063 11651 110323 12867 54683
5991036_Generic_Transcription_Pathway	0.00714416234032388	0.0380589011948163	0.407017918923954	-0.313295856746286	-1.55249348330027	117	18124 66313 12914 18128 20482 19014 12455 20481 72949 22084 56717 17127 26896 21849 19082 17128 22026 15370 14815 64930 18519 83814 93836 17131 20683 353187 228839 54401 20463 70208 67381 19042 59024 103806 327987 140742
5991038_Glucose_transport	0.08	0.224905969347287	0.204294756516886	0.445007648699136	1.43529803577619	27	20527 15277 20525 18141 223921 69736 269113 15275
5991039_Hexose_transport	0.0756578947368421	0.215221001532959	0.208955027549354	0.439617860285759	1.42979396515831	28	20527 15277 20525 18141 223921 69736 269113 15275
5991040_SLC-mediated_transmembrane_transport	0.173611111111111	0.350814176245211	0.199915231309662	-0.227050303865907	-1.15167988194866	142	20499 57738 100434 236794 98396 53881 243328 20516 22782 269966 108652 227059 13521 108989 71279 19386 20515 218210 54563 108052 66679 26569 14977 330836 68682 20535 171429 210148 227720
5991041_Transmembrane_transport_of_small_molecules	0.217391304347826	0.407000972357272	0.211400189384923	-0.199796280768549	-1.10576034288574	273	11931 20499 57738 100434 19299 12727 236794 14605 105722 11512 98396 53881 54667 27360 11928 243328 20516 320940 11513 22782 269966 108652 227059 21871 11933 13521 108989 71279 11980 19386 83814 20515 218210 76295 54563 108052 66679 26569
5991042_Glycolysis	3.4188416547131e-07	8.0137648386475e-06	0.674962860011025	0.770743977542755	2.38347510663988	23	11676 21991 18648 15277 18655 18746 56421 14433 11674 18641 14751 15275 433182
5991045_Pyruvate_metabolism_and_Citric_Acid_TCA_cycle	0.473509933774834	0.662235850100365	0.0721797965581253	0.307723209814358	0.988146451764691	26	12215 20501 16828 80879 66925 381511 67834 236900 235339 66052 228026
5991046_The_citric_acid_TCA_cycle_and_respiratory_electron_transport	0.160179640718563	0.333315558399545	0.132147260608774	0.304288551520332	1.23610936415145	82	12215 20501 16828 68198 110826 230075 66377 66694 80879 11950 12858 66925 13063 66346 67264 381511 22228 66916 66594 110323 66218 68202 12867 595136 67834 236900 72900 78330 12868 235339 66052
5991048_Metabolism_of_amino_acids_and_derivatives	0.00784393545980265	0.0403205805214417	0.380730400722792	0.364221199877864	1.55418780044146	112	269378 12709 18263 27053 76238 66885 56454 66054 18408 22117 110695 12716 107272 107766 17463 109900 14645 67092 26440 228608 26444 14718 19179 228769 26445 57296 19170 14719 14085 67151 20810 26442 19177
5991052_Transmission_across_Chemical_Synapses	0.358662613981763	0.558979499450301	0.125033367555272	-0.226163788817411	-1.05706251338839	85	18751 12912 20112 20907 18750 11512 11513 100986 233977 54393 13383 109880
5991053_Neuronal_System	0.732919254658385	0.860702772003635	0.0822054920415869	-0.18042903579371	-0.882211999694121	114	18751 12912 20112 20907 18750 11512 11513 55991 16534 100986 233977 54393 13383 109880
5991064_Fatty_acid,_triacylglycerol,_and_ketone_body_metabolism	0.1421875	0.306330422794118	0.144630528034484	0.3323976388104	1.2760838230895	59	11363 68262 50790 28169 52123 216739 170439 13358 13350 433256 11409 73724 14104 30963 67512 231510 20467 54325 13177 15107 110821 14933 56348
5991065_Metabolism_of_lipids_and_lipoproteins	0.0151072312384398	0.0697073819348483	0.380730400722792	0.279334652668313	1.36069046711468	304	16592 110196 11363 13121 50784 13244 226856 20597 20775 68262 208715 14137 74114 50790 20778 17164 28169 66461 15357 52123 216739 235293 16987 27384 20788 66234 170439 14466 622402 77371 319554 66350 11886 13358 67103 15490 67260 68603 11605 13350 192156 56473 67469 11881 15926 18453 16332 433256 67420 20334 28042 14148 14667 67073 56075 231070 270669 67216 11409 64292 225845 73724 97287 14104 77219 30963 67512 11690 12850 12091 76893 234515 231510 20467 56794 104759 54325 15212 84095 13177 13595 236899 18806 23945 15107 76267 16835
5991067_Metabolism_of_water-soluble_vitamins_and_cofactors	0.0327463903125142	0.119933654519583	0.321775918075361	0.410107841731088	1.50912978855804	47	20527 18563 20525 116914 13361 59027 72621 54391 109754 14104 69698 268566 109129 73132 71743 66454 54219 110821
5991068_Metabolism_of_vitamins_and_cofactors	0.0327463903125142	0.119933654519583	0.321775918075361	0.410107841731088	1.50912978855804	47	20527 18563 20525 116914 13361 59027 72621 54391 109754 14104 69698 268566 109129 73132 71743 66454 54219 110821
5991077_Purine_metabolism	0.00611967114138292	0.0344977254453027	0.407017918923954	0.571035371603074	1.78851648080697	24	22436 18950 11565 15452 12359 67054 23959 11486 76952 11821 229363 13178
5991078_Metabolism_of_nucleotides	9.83104296059642e-08	2.50477877169978e-06	0.704975715167238	0.633763992265674	2.42302187806803	55	93692 22271 21877 20133 20135 22436 110074 18950 11565 18102 22166 80914 14782 15452 53893 12359 320685 67054 23959 11636 11486 76952 11821 22171 17766 229363 13178
5991079_Detoxification_of_Reactive_Oxygen_Species	0.00106429962928905	0.00842810246977548	0.45505986738723	0.723420334152538	1.99525892232843	15	50527 22166 14782 21672 12359 18453 13063 69590 20656 54683 67305 11927
5991082_Phase_1_-_Functionalization_of_compounds	0.880407124681934	0.939323658914107	0.0628003977812234	-0.189968347177211	-0.728925592674568	38	11522 68738 60525
5991086_Processing_of_Capped_Intron-Containing_Pre-mRNA	0.25531914893617	0.457544407573687	0.151148761385484	-0.236267763133798	-1.11284190643633	89	53319 269061 94230 83486 81898 229279 67996 59013 20020 320632 15388 56335 192159 71713 68134 67500 69207 53379 15381 51796 54196 68598 433702 18521
5991087_mRNA_Splicing_-_Major_Pathway	0.316265060240964	0.527407337841222	0.133554954557592	-0.232602332447469	-1.08716205686163	84	269061 94230 83486 81898 229279 67996 59013 20020 320632 15388 192159 71713 68134 67500 69207 53379 15381 51796 54196 68598 433702 18521 67337 54451 20637 228410 19826 98758 19655 53317 57317 24061 74737 67710 68011 225027
5991088_mRNA_Splicing	0.316265060240964	0.527407337841222	0.133554954557592	-0.232602332447469	-1.08716205686163	84	269061 94230 83486 81898 229279 67996 59013 20020 320632 15388 192159 71713 68134 67500 69207 53379 15381 51796 54196 68598 433702 18521 67337 54451 20637 228410 19826 98758 19655 53317 57317 24061 74737 67710 68011 225027
5991089_mRNA_3'-end_processing	0.201492537313433	0.385864793678666	0.154190966581424	-0.341290912223513	-1.20886922611187	27	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 225027
5991090_Post-Elongation_Processing_of_Intron-Containing_pre-mRNA	0.201492537313433	0.385864793678666	0.154190966581424	-0.341290912223513	-1.20886922611187	27	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 225027
5991091_Post-Elongation_Processing_of_the_Transcript	0.838120104438642	0.915868582069699	0.066436413766281	-0.204836424879068	-0.76454770148133	35	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 68011 225027 67332
5991092_Cleavage_of_Growing_Transcript_in_the_Termination_Region_	0.838120104438642	0.915868582069699	0.066436413766281	-0.204836424879068	-0.76454770148133	35	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 68011 225027 67332
5991093_RNA_Polymerase_II_Transcription_Termination	0.838120104438642	0.915868582069699	0.066436413766281	-0.204836424879068	-0.76454770148133	35	269061 94230 67996 71713 68134 69207 51796 54196 433702 67337 54451 228410 19826 57317 74737 68011 225027 67332
5991094_RNA_Polymerase_II_Transcription	0.736842105263158	0.863578947368421	0.0787113806986485	-0.182892033039386	-0.84745721521873	79	269061 94230 12455 72949 67996 20020 13871 67655 71713 68134 69207 14884 20924 51796 228980 54196 433702 226182 67337 54451 24075 13872 72504 209361 24116 228410 19826 57317 74737 67710 68011 235459 225027
5991095_Transcription	0.808641975308642	0.909166684177716	0.0766746872490091	-0.171048088449813	-0.847604706321895	117	269061 94230 216151 12455 72949 67996 21341 72308 20020 21339 13871 18519 67655 71713 68134 69207 14884 227644 20924 51796 228980 54196 433702 226182 67337 71752 545725 66136 54451 24075 21429 13872 20841 72504 544971 209361 24116 228410 18986 19826 22130 57317 74737 67710 68011 235459 225027 75627
5991096_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit	0.97339593114241	0.988578883274614	0.0356176233437444	0.149880094403836	0.574067613623175	57	66235 22384 26905 100503670 19896 20042 20005 20115 13665 78655 67025 67204 20084 19942 13684 27979 19951 67891 19934 66483 13681 55944 19941 27176 270106 67115 110954 66475 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 68436 217869 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991097_Cap-dependent_Translation_Initiation	0.913793103448276	0.954744144328258	0.03863723737086	0.175305960332395	0.682293317111515	62	13685 66235 22384 26905 100503670 209354 19896 20042 20005 20115 108067 13665 78655 67025 67204 20084 19942 13684 27979 19951 67891 19934 66483 13681 55944 19941 27176 270106 67115 110954 66475 18458 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 13667 68436 217869 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991098_Eukaryotic_Translation_Initiation	0.913793103448276	0.954744144328258	0.03863723737086	0.175305960332395	0.682293317111515	62	13685 66235 22384 26905 100503670 209354 19896 20042 20005 20115 108067 13665 78655 67025 67204 20084 19942 13684 27979 19951 67891 19934 66483 13681 55944 19941 27176 270106 67115 110954 66475 18458 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 13667 68436 217869 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991099_Translation	0.956909361069837	0.982047085090936	0.0339723613634993	0.157028862366538	0.641385493092672	83	13685 14853 20014 107513 66235 20832 22384 66256 26905
5991100_Metabolism_of_proteins	0.787951807228916	0.898326379447752	0.0332359307785383	0.17649055169733	0.871381731743831	357	50527 13685 53618 12189 14537 17918 227613 67951 18550 18141 381903 223921 20443 64138 13666 14425 14853 69080 77371 56375 66449 20336 66411 20444 192156 20014 69736 19357 107513 226641 11881 13478 19128 269113 20334 66235 18701 12579 28185 20832 67422 22384 20448 231727 270669 67199 66256 56459 26905 12144 50935 12764 18700 108687 27392 208691 217664 105638 12091 192193 80294 14827 21854 108150 12317 20684 67713 100503670 269181 271786 67952 66661 22154 30057 68501 56495 102580 320438 29858 16006 67105 12873 21855 233744 331026 94181 276846 53421 53413 107371 170762 69608 19123 66624 66397 231042 109054 70361 209354 19896 242362 21454 226026 140474 67556 20042 20005 20115 68275
5991101_Ribosomal_scanning_and_start_codon_recognition	1	1	0.0555947097758869	-0.109774436090226	-0.399281628835598	30	13682 20068 13669 16341 75617 73830 66481 20054 27370 20044 27050 217869 54127 66085 20055 14109 66475 55944 13681 27979 13684 20084 67204 78655 13665 20115 20042 26905 22384 66235
5991102_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S	0.78441127694859	0.896033154565057	0.0482149710025565	0.231656813214331	0.772700941680674	31	13685 66235 22384 26905
5991103_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex	0.958974358974359	0.982445759368836	0.0404114482034376	0.180125260960334	0.567600366002085	25	66235 26905 20042 20115 13665 78655 67204 20084 27979 55944 66475 14109 20055 66085 54127 27050 20044 27370 20054 66481 73830 75617 16341
5991105_Formation_of_a_pool_of_free_40S_subunits	0.917197452229299	0.956366026701725	0.0391956336118146	0.184550962240386	0.68457875079843	49	66235 100503670 19896 20042 20005 20115 78655 67025 20084 19942 27979 19951 67891 19934 66483 55944 19941 27176 270106 67115 110954 66475 19981 14109 20055 66480 11837 66085 54127 19933 19921 22186 67281 68436 27050 20044 27370 20054 114641 66481 73830 54217 56040 19899 75617 16341
5991107_Pyrimidine_metabolism	0.00152800172270884	0.0109196220671632	0.45505986738723	0.687296156514851	1.95238576699076	16	22271 21877 110074 80914 320685 23959 22171 13178
5991112_RNA_Polymerase_I_Promoter_Clearance	0.719178082191781	0.860078277886497	0.0536769600638127	0.25870120980965	0.810267455149656	24	20018 14885 26417 75316 17420 69833 66671 20017 21340 209357
5991113_RNA_Polymerase_I_Transcription	0.793046357615894	0.901662370226845	0.0476387259290825	0.239079087922662	0.767719641831497	26	20018 14885 26417 75316 17420 69833 66671 20017 21340 209357
5991114_RNA_Polymerase_I,_RNA_Polymerase_III,_and_Mitochondrial_Transcription	0.914012738853503	0.954744144328258	0.0393561959521291	0.187198671439696	0.694400240939351	49	20018 67005 66596 14885 26417 75316 17420 69870 69833 74414 66671 20017
5991115_RNA_Polymerase_I_Transcription_Initiation	0.850953206239168	0.918339924228642	0.0465084048719157	0.22425238950954	0.693485779421284	23	20018 14885 75316 17420 69833 66671 20017 21340 209357
5991116_RNA_Polymerase_I_Promoter_Escape	0.765734265734266	0.881572258782475	0.0517405459873163	0.256133889476403	0.782360287487785	22	20018 14885 75316 17420 69833 66671 20017 21340 209357
